County,num_accidents
Los Angeles,526851
Miami-Dade,251601
Orange,241275
Harris,181196
Dallas,157024
Mecklenburg,147265
Montgomery,136788
Wake,117890
San Bernardino,109631
Travis,107881
Maricopa,106737
San Diego,104165
Alameda,98553
Davidson,96580
Sacramento,95377
Riverside,88248
East Baton Rouge,75260
Santa Clara,70482
Cook,65599
Marion,59498
Hennepin,58978
Jefferson,58158
Greenville,57242
King,56934
Fulton,55958
Hillsborough,55581
Broward,53865
Lake,53624
Contra Costa,51338
Oklahoma,46058
Wayne,43262
Jackson,42480
Genesee,42163
Duval,41728
Queens,41480
Pinellas,41387
Douglas,40675
Pima,40433
Monroe,39771
Richland,39686
Spartanburg,39581
Hamilton,38991
Bexar,38636
Salt Lake,38615
Lee,38504
Westchester,38224
Middlesex,38143
Washington,38017
Kern,37614
Suffolk,37179
Fairfax County,36143
York,34319
San Joaquin,34041
Tarrant,33947
Multnomah,32939
Lancaster,32553
DuPage,32447
Kent,32051
Fresno,31563
Palm Beach,30931
San Mateo,30525
Tulsa,29394
Franklin,28492
Orleans,27391
Bronx,27308
Ramsey,26811
Prince George's,26791
El Paso,26477
Kings,26009
Richmond City,25948
Sonoma,25435
Nassau,25242
Essex,24841
Lexington,24478
Anderson,23220
Horry,22784
Henrico,22625
Shelby,22501
DeKalb,22266
Solano,22198
Manatee,22153
New York,21989
Union,21288
Ventura,21276
Denver,21163
Sarasota,20675
Fairfield,20620
Philadelphia,20233
Polk,19999
Pasco,19951
Allegheny,19802
Richmond,19416
Monterey,19097
Norfolk,18957
Stanislaus,18809
Bergen,18578
Chesterfield,18516
Osceola,18502
District of Columbia,18302
Baltimore County,18283
Hartford,18214
Chester,18053
Madison,17922
Placer,17846
San Francisco,17620
Tulare,17412
Oakland,16953
St. Louis County,16924
Prince William,16655
Frederick,16306
Caddo,16133
Adams,15960
Pierce,15326
Johnson,15254
Escambia,15121
New Haven,15045
Berkeley,14999
Santa Cruz,14651
Erie,14632
Cuyahoga,14622
Albany,14288
Lafayette,14268
Santa Barbara,14170
Delaware,14011
Milwaukee,13905
Marin,13797
Greene,13695
Dakota,13533
Providence,13435
Loudoun,12996
Brevard,12934
Merced,12659
Cobb,12373
Snohomish,12360
Camden,12349
New Castle,12068
Anne Arundel,11950
Columbia,11887
Lane,11692
Utah,11630
Hudson,11624
Tuscaloosa,11410
Florence,11402
Charleston,11330
El Dorado,11255
Washoe,11197
San Luis Obispo,10948
Summit,10887
Seminole,10604
Cumberland,10599
Clackamas,10515
Clay,10432
Rockland,10170
Orangeburg,9839
Clark,9638
Dutchess,9629
Davis,9435
Putnam,9410
Warren,9368
Yolo,9327
Dorchester,9303
Aiken,9276
Mobile,9244
Sumter,9001
Onondaga,8850
Baltimore City,8768
Cherokee,8681
Dupage,8592
Fairfax,8571
Volusia,8559
Umatilla,8551
Madera,8477
Gwinnett,8424
Williamson,8400
Weber,8382
Linn,8175
Nevada,8165
Deschutes,8093
Napa,8032
Anoka,7869
Pulaski,7717
Burlington,7695
Arapahoe,7547
Macomb,7536
Mercer,7372
Leon,7349
Kane,7346
Saratoga,7303
Buncombe,7294
Bernalillo,7208
Pickens,7172
Fayette,7097
Mendocino,6993
Butte,6980
Stafford,6979
Humboldt,6959
Arlington,6911
Klamath,6878
Shasta,6842
Harford,6804
Somerset,6759
Knox,6738
Oconee,6657
Howard,6611
Dauphin,6596
Laurens,6556
Wyandotte,6528
Westmoreland,6443
Denton,6337
Guilford,6252
Henry,6135
Monmouth,6132
Oneida,6129
Hernando,6125
Clayton,6115
Passaic,6104
Morris,6036
Ada,6030
Collin,5969
Will,5902
Virginia Beach,5902
Rockingham,5800
Jasper,5749
Santa Rosa,5704
Chesapeake,5701
Forsyth,5698
Kenton,5651
Bucks,5635
Scott,5620
Alachua,5518
Centre,5486
Yavapai,5478
Worcester,5423
Berks,5422
Gloucester,5418
Lehigh,5400
Sarpy,5395
St. Louis City,5355
Lincoln,5329
Baker,5203
Beaufort,5175
Colleton,5148
Augusta,5065
Clearfield,5057
Kershaw,5005
Wright,4981
Okaloosa,4923
Yuba,4778
Spokane,4742
Albemarle,4722
Collier,4656
Hampton,4541
Calhoun,4527
St. Charles,4488
Durham,4471
Josephine,4468
Dane,4453
Tuolumne,4406
Boone,4388
Smith,4366
Hanover,4342
Carroll,4311
Darlington,4272
Greenwood,4245
Chatham,4243
Hinds,4213
St. Johns,4199
Bay,4160
Malheur,4143
Pinal,4140
Siskiyou,4119
St. Louis,4113
Morgan,4100
Gallatin,4098
Baltimore,4091
Ocean,3998
Newberry,3991
Kanawha,3989
Spotsylvania,3987
Washtenaw,3955
Fauquier,3953
Rensselaer,3940
Cleveland,3927
Stearns,3881
Johnston,3855
Lycoming,3841
Yamhill,3835
Northampton,3826
Richmond (City),3823
Wasco,3803
Tehama,3802
Coconino,3798
Capitol,3790
Martin,3785
Plymouth,3785
San Benito,3742
Benton,3710
Cambria,3708
Calaveras,3664
Newport News,3636
Cass,3620
Houston,3609
Blair,3595
Chilton,3549
Clatsop,3489
Alexandria,3477
Caroline,3441
Georgetown,3370
Walton,3330
Tooele,3230
Baldwin,3187
Blount,3184
Sutter,3171
Livingston,3151
Limestone,3121
St. Clair,3118
Ulster,3088
Butler,3084
New Kent,3063
Dillon,3039
Canadian,3028
Shenandoah,3027
Coos,3023
Clinton,2989
Waukesha,2983
Weld,2979
Box Elder,2946
Mohave,2937
Tazewell,2929
Lucas,2924
Olmsted,2909
Amador,2894
Chisago,2864
Bristol,2827
St. Lucie,2808
Northumberland,2804
New London,2784
Iredell,2763
Dekalb,2756
Clarendon,2735
Wichita,2715
Rutherford,2707
Lebanon,2691
Campbell,2689
Ottawa,2681
Atlantic,2680
Pike,2676
Rice,2663
Larimer,2657
Sherburne,2639
Bedford,2599
Platte,2589
Henderson,2585
Thurston,2567
Charlotte,2547
Missoula,2508
Grant,2505
Carbon,2484
Cecil,2482
Botetourt,2453
Rockbridge,2420
Park,2408
Fort Bend,2407
Schenectady,2406
Yellowstone,2384
Sussex,2371
Tillamook,2370
Flathead,2367
Iron,2355
Wasatch,2344
Haywood,2269
Pueblo,2248
Whatcom,2238
Gadsden,2235
Lassen,2210
Ingham,2178
Pine,2155
Blue Earth,2155
Dinwiddie,2128
Western Connecticut,2106
Goodhue,2094
Garfield,2090
Pottawattamie,2061
Highlands,2060
South Central Connecticut,2054
Sevier,2050
Roanoke County,2046
Citrus,2037
Charles,2037
Calcasieu,2019
Brunswick,2012
West Baton Rouge,2012
Freeborn,2005
Queen Anne's,1999
Gaston,1996
Kalamazoo,1993
Wythe,1984
Coweta,1939
Merrimack,1935
Norfolk (City),1927
Del Norte,1923
Elmore,1910
Lyon,1902
Winona,1877
Luzerne,1869
Clear Creek,1826
Hendricks,1820
Cullman,1819
Carver,1811
Eagle,1802
Berrien,1785
Brown,1771
Wood,1768
Marlboro,1751
Mineral,1750
Colusa,1734
Harrison,1714
Tioga,1714
Williamsburg,1683
Chautauqua,1666
Rockwall,1659
Robeson,1653
Ontario,1653
St Louis,1653
Virginia Beach (City),1650
Mono,1648
Bibb,1646
Trinity,1646
Sedgwick,1635
Hood River,1633
Snyder,1629
Plumas,1625
Steele,1610
Beaver,1609
Cabarrus,1608
Lawrence,1602
Hancock,1600
Allen,1592
McKean,1591
Huntingdon,1576
DeSoto,1574
Mariposa,1571
Mifflin,1560
Winnebago,1543
Carlton,1543
Glenn,1534
Chesapeake (City),1534
Hunterdon,1527
Kitsap,1516
Harnett,1516
Skagit,1516
Suwannee,1511
Lackawanna,1493
Floyd,1486
Goochland,1472
Millard,1465
Baltimore (City),1448
Lewis,1447
Nicollet,1445
Crittenden,1439
Gila,1435
Elko,1435
Inyo,1425
Lewis and Clark,1421
Portsmouth,1420
Sullivan,1417
Bartow,1416
Curry,1416
Forrest,1409
Apache,1407
Alamance,1399
Hays,1394
Morrow,1383
Rowan,1375
Canyon,1368
Clarion,1366
Juab,1355
Navajo,1353
Sherman,1352
Lowndes,1349
Otter Tail,1347
James City,1341
Saline,1336
Crow Wing,1328
Autauga,1322
Schuylkill,1318
Rankin,1311
Perry,1285
Broome,1285
Kaufman,1282
Elk,1277
Talbot,1259
Tolland,1259
Walker,1239
Cabell,1236
Wilson,1228
Fredericksburg,1227
Bradley,1217
Harney,1212
Macon,1211
Louisa,1202
Saluda,1199
Barnstable,1198
La Paz,1196
Hall,1189
Boulder,1185
Flagler,1176
Gilliam,1174
Galveston,1164
Licking,1145
Clermont,1143
Abbeville,1143
Morrison,1142
Halifax,1142
King George,1140
Naugatuck Valley,1135
Catawba,1131
Troup,1130
Itasca,1126
Petersburg,1125
Lorain,1124
Randolph,1124
Cowlitz,1114
Lamar,1113
St. Tammany,1110
Newton,1109
Crook,1103
Indian River,1101
Crawford,1093
Roanoke City,1091
Coffee,1077
Juniata,1072
Salem,1071
Allegan,1070
Carson City,1066
Prince George,1053
Grand,1049
Nobles,1047
Edgefield,1046
Kandiyohi,1045
Powhatan,1043
Bossier,1041
Portage,1024
Niagara,1024
Ellis,1017
Bartholomew,1017
Clarke,1015
Brazoria,1009
Stark,1009
Windham,1002
Eaton,990
Macon-Bibb County,987
Robertson,969
Spalding,960
Cape May,957
Hampden,954
Outagamie,950
New Hanover,949
Saginaw,947
Newport News (City),944
McLeod,943
Mille Lacs,940
Bedford County,937
Sweetwater,934
Van Buren,929
Pittsylvania,924
Burke,921
Wakulla,918
Butts,915
Todd,903
Porter,898
Broomfield,895
Franklin County,893
Bradford,890
Fremont,879
Roane,879
Isle of Wight,876
Allegany,875
Nash,869
Mason,867
Stillwater,867
Hardee,865
Emery,860
Story,857
Ravalli,857
Rock,856
Levy,852
McDowell,849
Yuma,847
Muscogee,844
Hampton (City),843
Greater Bridgeport,837
Dodge,833
San Juan,833
St Johns,831
Holmes,828
Lonoke,827
Smyth,827
Racine,823
Tangipahoa,818
Mower,812
Cayuga,803
Pender,801
Marshall,798
Granite,798
Grundy,788
Becker,788
Barnwell,782
Rockdale,782
Geauga,782
Litchfield,777
Surry,776
Susquehanna,768
Russell,768
Terrebonne,765
Herkimer,762
Meeker,752
Suffolk (City),749
Seneca,744
Guadalupe,734
Sumner,731
Cascade,729
Logan,721
Big Horn,716
Lower Connecticut River Valley,715
Culpeper,715
Medina,696
Page,693
Beltrami,691
Le Sueur,688
Kenosha,686
McHenry,685
Modoc,677
Faribault,676
Silver Bow,676
Southeastern Connecticut,675
Aitkin,672
McMinn,671
Belknap,671
Wallowa,671
St Louis (City),670
Mesa,668
Montour,666
Comal,665
White,665
Alleghany,662
Taylor,659
Sanpete,659
Churchill,658
Chippewa,657
Harrisonburg,656
Mahoning,654
Loudon,652
Peach,650
Grays Harbor,649
St. Martin,649
Hubbard,648
Monongalia,646
Ascension,644
Faulkner,639
Grafton,629
Accomack,628
Wicomico,621
Liberty,617
Sebastian,616
Raleigh,613
Davie,604
Colonial Heights,603
Catoosa,598
Sibley,596
Granville,591
Renville,591
Wheeler,590
Bamberg,586
Iberville,584
Trumbull,583
Duchesne,582
Bland,582
Ohio,579
Pitt,579
Uintah,576
Parker,574
Powell,569
Hendry,568
Champaign,563
Sangamon,562
Miami,557
St Clair,557
Cheshire,555
Alexandria (City),554
Isanti,554
St Lucie,551
Oswego,547
Greensville,545
St. Mary's,544
Nelson,544
Caldwell,541
Amelia,537
Bryan,536
Pope,534
Kittitas,530
Hidalgo,530
Cochise,525
Moore,523
Sierra,522
Fillmore,521
Gordon,520
St. John the Baptist,519
Potter,516
Glynn,515
St Charles,511
Laramie,509
Whitfield,504
Cleburne,503
Kootenai,501
Woodbury,499
Vanderburgh,497
Nottoway,497
Las Animas,495
Muskegon,494
Venango,493
Buchanan,490
Lauderdale,490
Indiana,486
McLennan,485
LaSalle,482
Hot Spring,477
Strafford,477
St. Croix,473
Dawson,472
Wabasha,472
Rapides,471
Craighead,467
Sampson,465
Talladega,464
Cottonwood,463
Redwood,458
Effingham,452
Barrow,451
Cedar,448
Amherst,446
Yadkin,445
Tippecanoe,443
Waller,437
Queen Annes,437
LaPorte,437
Adair,434
McKinley,432
St. Francis,431
Jones,421
Cheatham,421
Roanoke,418
St Francis,417
Huerfano,411
McCormick,409
Wilkes,408
Uinta,408
Ouachita,404
McLean,402
Prairie,402
Southampton,400
Vance,399
Bell,398
Iowa,394
Clallam,394
Cibola,392
Custer,391
Alpine,391
Duplin,390
Banks,389
Midland,389
Sweet Grass,389
Rosebud,386
Eau Claire,384
Dade,384
St. Joseph,382
Shiawassee,382
Poweshiek,381
Gilchrist,381
Watonwan,381
Vigo,380
Fredericksburg (City),377
Bullitt,375
Dearborn,372
Conway,370
Cocke,370
Dale,369
Peoria,368
Mississippi,368
Sheboygan,366
Garland,363
Portsmouth (City),361
Jerome,361
Bulloch,360
Garrett,360
Dunn,360
Sandusky,358
Murray,358
Island,353
Prince Georges,352
Elkhart,349
Hardin,349
Ozaukee,349
Steuben,348
Kanabec,345
Eureka,345
Acadia,344
Pickaway,342
Marathon,342
Giles,340
Charles City,339
Allendale,336
Haralson,335
Otero,334
Meriwether,333
Black Hawk,332
Harrisonburg (City),332
District Of Columbia,331
Morton,331
Petersburg (City),330
Fond du Lac,330
Twiggs,326
Colbert,326
Miller,324
Spencer,322
Columbus,322
Lunenburg,322
Fairfax City,321
Onslow,319
Muskingum,316
Waseca,316
Dougherty,314
Kankakee,312
Williams,312
Preble,312
Sanders,312
Tift,311
Chaffee,311
Dickson,311
Craven,310
Chambers,309
Klickitat,308
Belmont,308
Dixie,305
McIntosh,302
Yellow Medicine,302
Walworth,301
St Tammany,295
Penobscot,294
Armstrong,291
Sauk,288
Hampshire,286
Patrick,286
Prince Edward,285
Fluvanna,285
Webster,284
Dooly,284
Cortland,284
Carter,284
White Pine,283
King William,280
Northwest Hills,278
Decatur,277
Wadena,272
Bannock,272
Graham,271
